AccelerationX,AccelerationY,AccelerationZ
0.0125,0.0009,1.0002
0.0127,0.001,1.0006
0.0133,0.0009,1.0013
0.0126,0.0005,1.0008
0.0123,-0.0005,0.9998
0.0124,-0.001,0.9982
0.0124,-0.0003,0.999
0.0138,-0.0001,1
0.0145,-0.0003,1.0003
0.0142,0.0002,1.0002
0.014,0.0001,1.0008
0.0133,0.0001,1.0007
0.0129,-0.0003,1.0002
0.0145,-0.0005,1.0002
0.0151,0.0001,1.0006
0.015,-0.0002,1.0005
0.0136,-0.0007,1
0.0127,0.0001,1
0.0131,0.0002,1.0007
0.0132,-0.0004,1.0004
0.0135,0,1
0.0134,0.0005,1.0014
0.0131,0.001,1.0015
0.0123,0.0005,0.9993
0.0127,-0.0005,0.9989
0.0134,0.0001,0.9998
0.0137,0.0012,1.0002
0.014,0.0012,1.0007
0.0135,0.0004,1.0002
0.0136,-0.0001,1.0004
0.014,-0.0004,1.0001
0.0136,-0.0004,1
0.0141,-0.0003,1.0012
0.0144,-0.0002,1.0012
0.0134,0,1.0004
0.0127,0.0003,1.0002
0.0131,0.0003,1.0005
0.0136,0.0007,1.0001
0.0134,-0.0007,0.9995
0.0129,-0.0013,0.9988
0.0135,-0.0009,0.9991
0.0144,0.0002,1.0004
0.014,-0.0004,1.0005
0.0131,-0.0003,1.0005
0.0132,0.0008,1.0003
0.0142,-0.0002,0.9993
0.0144,-0.0013,0.9996
0.0138,-0.0013,1.0006
0.0127,-0.0017,1.0002
0.0128,-0.0009,1.0005
0.0125,-0.0006,1
0.0132,-0.0041,0.9992
0.0126,-0.0089,0.998
0.0128,-0.0063,0.998
0.0145,0.0084,1
0.0137,0.0041,1.0009
0.012,-0.0142,0.9997
0.0118,-0.0189,0.9981
0.0147,-0.0009,0.9993
0.0152,0.0032,1
0.0126,-0.0059,0.9988
0.0111,-0.0157,0.9979
0.0135,-0.014,0.9992
0.0153,-0.0103,1.0004
0.0134,-0.013,0.9985
0.0116,-0.019,0.9986
0.0116,-0.0202,0.9997
0.0132,-0.0159,0.9996
0.0149,-0.021,0.9997
0.0147,-0.0324,0.9986
0.0132,-0.0353,0.9982
0.0129,-0.034,0.9989
0.0139,-0.0291,0.9982
0.0149,-0.0299,0.999
0.0134,-0.0455,0.9982
0.0111,-0.0539,0.9966
0.0132,-0.0474,0.997
0.0149,-0.0544,0.9984
0.0135,-0.0642,0.9951
0.0126,-0.0538,0.9961
0.0149,-0.0536,1.0006
0.0133,-0.0763,0.998
0.0118,-0.0886,0.9925
0.0144,-0.0775,0.9948
0.0168,-0.0669,1.0012
0.0141,-0.0794,0.9986
0.0102,-0.1159,0.989
0.0125,-0.1077,0.9915
0.0191,-0.0739,1.0006
0.0185,-0.0923,1.0022
0.0095,-0.1502,0.9865
0.0111,-0.124,0.9874
0.0183,-0.0958,0.9966
0.0196,-0.1313,0.9968
0.0104,-0.155,0.9845
0.0104,-0.1428,0.988
0.0156,-0.1518,0.9922
0.0152,-0.1648,0.9865
0.0143,-0.1615,0.9844
0.0164,-0.1613,0.9887
0.0144,-0.1806,0.9889
0.0108,-0.2075,0.9737
0.0146,-0.1984,0.9755
0.0207,-0.1835,0.9886
0.0167,-0.2035,0.9813
0.0087,-0.2297,0.9706
0.0111,-0.2346,0.9672
0.0209,-0.2199,0.9784
0.0212,-0.2286,0.9776
0.0124,-0.2658,0.9612
0.0088,-0.2774,0.9587
0.0178,-0.2476,0.969
0.0219,-0.257,0.9742
0.017,-0.2981,0.9575
0.0124,-0.3108,0.9453
0.0147,-0.301,0.9508
0.0161,-0.3013,0.9619
0.0146,-0.3133,0.9478
0.0148,-0.3384,0.941
0.0162,-0.3542,0.9339
0.015,-0.3452,0.9426
0.0147,-0.3466,0.9427
0.0138,-0.3649,0.9387
0.0148,-0.3889,0.9253
0.0179,-0.3963,0.9146
0.0155,-0.4068,0.9171
0.0144,-0.4002,0.9173
0.0137,-0.4051,0.9187
0.0145,-0.4353,0.901
0.0166,-0.4528,0.8929
0.0193,-0.446,0.8954
0.0171,-0.4383,0.9032
0.0115,-0.4713,0.8835
0.0104,-0.4887,0.8657
0.0182,-0.4829,0.8799
0.0227,-0.4853,0.8815
0.0159,-0.4995,0.8707
0.0076,-0.5315,0.8476
0.0123,-0.5307,0.8446
0.0207,-0.5223,0.8598
0.0216,-0.5281,0.8513
0.0144,-0.5514,0.8392
0.0098,-0.5816,0.8118
0.0143,-0.5727,0.8236
0.0209,-0.5627,0.8305
0.0213,-0.5739,0.8209
0.0149,-0.6068,0.7999
0.013,-0.6169,0.7835
0.0164,-0.6115,0.795
0.0191,-0.6157,0.7939
0.0175,-0.6259,0.7823
0.0141,-0.6438,0.7683
0.0132,-0.6557,0.7573
0.0155,-0.6559,0.7584
0.0175,-0.6505,0.7645
0.0157,-0.6721,0.7446
0.0146,-0.6945,0.7174
0.0172,-0.6828,0.7306
0.0186,-0.6864,0.7384
0.016,-0.7012,0.7222
0.0144,-0.7112,0.7017
0.0149,-0.7292,0.6812
0.0168,-0.7284,0.6833
0.0148,-0.7282,0.6924
0.0144,-0.7353,0.6841
0.0152,-0.7424,0.6737
0.0154,-0.7659,0.6429
0.0161,-0.7714,0.6345
0.0167,-0.7642,0.6486
0.0156,-0.768,0.6548
0.0145,-0.7848,0.6306
0.0128,-0.8006,0.5984
0.0173,-0.7938,0.6084
0.0193,-0.7991,0.608
0.0123,-0.8176,0.5837
0.0086,-0.819,0.5713
0.0138,-0.8158,0.5776
0.0189,-0.8317,0.5703
0.0179,-0.8403,0.5477
0.0152,-0.8353,0.5354
0.0119,-0.8515,0.5258
0.0138,-0.8546,0.5283
0.0162,-0.8532,0.5287
0.0152,-0.8729,0.4968
0.0158,-0.8697,0.491
0.0122,-0.866,0.4969
0.01,-0.884,0.4744
0.0138,-0.8899,0.4601
0.0156,-0.8876,0.4536
0.0155,-0.8898,0.4624
0.0121,-0.9066,0.4384
0.0099,-0.9099,0.4107
0.0136,-0.9054,0.4187
0.0192,-0.9117,0.419
0.0166,-0.9175,0.4106
0.0102,-0.9253,0.3698
0.0087,-0.929,0.3602
0.0141,-0.9309,0.3741
0.0176,-0.9316,0.3749
0.0152,-0.9364,0.3564
0.0105,-0.9494,0.3122
0.0112,-0.9499,0.3115
0.0145,-0.945,0.3272
0.0144,-0.9517,0.3185
0.0126,-0.9619,0.2915
0.0126,-0.9614,0.2702
0.0139,-0.9596,0.2842
0.0136,-0.9657,0.2742
0.011,-0.9682,0.2525
0.0098,-0.9717,0.227
0.0118,-0.9739,0.2275
0.0131,-0.9762,0.2417
0.0115,-0.9806,0.2217
0.0097,-0.9807,0.196
0.0104,-0.9844,0.1609
0.0121,-0.9842,0.1792
0.0134,-0.9872,0.1954
0.0111,-0.9936,0.1622
0.0096,-0.99,0.1392
0.0114,-0.9883,0.1155
0.0108,-0.9922,0.1218
0.0103,-0.9957,0.1214
0.0091,-0.9953,0.1113
0.0103,-0.9974,0.0896
0.0127,-0.9985,0.0643
0.0106,-0.9959,0.0772
0.0091,-0.9998,0.0699
0.0086,-1.0023,0.0367
0.0105,-0.997,0.0284
0.0126,-1.0005,0.0377
0.0105,-1.0064,0.0275
0.0076,-0.9995,0.0047
0.0054,-0.995,-0.0189
0.0085,-0.9986,-0.032
0.0115,-1.0036,-0.0227
0.0104,-1.0054,-0.0207
0.0079,-1.0024,-0.0388
0.0057,-0.9972,-0.0556
0.0053,-0.9933,-0.0975
0.0074,-0.9921,-0.0916
0.01,-0.9981,-0.07
0.0091,-1.0067,-0.0957
0.004,-0.9959,-0.1204
0.0051,-0.9839,-0.1387
0.0062,-0.9859,-0.1314
0.0075,-0.9932,-0.1434
0.0065,-0.9892,-0.1759
0.0066,-0.9847,-0.1644
0.0064,-0.9853,-0.1687
0.0032,-0.986,-0.194
0.0055,-0.9763,-0.2042
0.0068,-0.9697,-0.219
0.0072,-0.9758,-0.2255
0.0073,-0.9786,-0.2197
0.0052,-0.9714,-0.2349
0.004,-0.9636,-0.2691
0.0051,-0.9604,-0.2627
0.0074,-0.9654,-0.2575
0.0059,-0.9616,-0.2991
0.0037,-0.9497,-0.3037
0.0043,-0.9505,-0.2956
0.0041,-0.954,-0.3086
0.0049,-0.946,-0.3366
0.0069,-0.9317,-0.3531
0.0071,-0.9398,-0.3337
0.0049,-0.9454,-0.354
0.0002,-0.9297,-0.3715
0.0007,-0.9107,-0.3891
0.0054,-0.9121,-0.4047
0.008,-0.9253,-0.3868
0.0058,-0.9239,-0.3971
0.0021,-0.9081,-0.4159
-0.0002,-0.8895,-0.4525
0.0009,-0.8904,-0.4475
0.0065,-0.9022,-0.4321
0.0063,-0.8971,-0.4575
0.0004,-0.8765,-0.4754
-0.0004,-0.8718,-0.4842
-0.0007,-0.8753,-0.4815
0.0024,-0.8723,-0.4896
0.0034,-0.8558,-0.5147
0.0037,-0.8471,-0.5259
0.0014,-0.8525,-0.5251
-0.0029,-0.8593,-0.5156
-0.0005,-0.8437,-0.5406
0.0012,-0.8183,-0.5671
0.003,-0.8135,-0.5702
0.0042,-0.8257,-0.5652
0.0003,-0.832,-0.5566
-0.0011,-0.8093,-0.5908
-0.0015,-0.787,-0.6051
0.0012,-0.7826,-0.6139
0.0027,-0.7923,-0.6136
0.0006,-0.7918,-0.6143
-0.0016,-0.7758,-0.6303
-0.0015,-0.7582,-0.6457
0,-0.7516,-0.6584
0.001,-0.7594,-0.6439
0.0019,-0.7516,-0.6584
-0.0001,-0.7277,-0.6875
-0.0041,-0.7241,-0.6801
-0.0025,-0.7296,-0.6822
-0.0004,-0.7235,-0.6953
-0.0002,-0.7084,-0.7002
-0.0002,-0.6889,-0.7197
-0.0022,-0.6806,-0.7268
-0.0035,-0.6881,-0.7244
-0.0018,-0.6899,-0.7265
0,-0.6797,-0.7326
-0.0023,-0.6496,-0.7597
-0.0038,-0.6276,-0.7721
-0.0032,-0.637,-0.7662
-0.0016,-0.6589,-0.7544
-0.0001,-0.6436,-0.7762
-0.006,-0.6094,-0.7916
-0.0078,-0.5902,-0.7947
-0.0028,-0.603,-0.7981
0.0013,-0.6024,-0.7964
-0.0006,-0.5807,-0.8146
-0.0067,-0.5748,-0.8128
-0.0075,-0.5689,-0.8237
-0.006,-0.5573,-0.8309
-0.0043,-0.5467,-0.8259
-0.0004,-0.5294,-0.849
-0.0016,-0.5275,-0.8459
-0.0071,-0.5332,-0.8415
-0.008,-0.51,-0.8636
-0.006,-0.4903,-0.8632
-0.0034,-0.4925,-0.8615
-0.0029,-0.4882,-0.8716
-0.0058,-0.466,-0.8889
-0.0101,-0.4531,-0.8856
-0.008,-0.4568,-0.8779
-0.0026,-0.4444,-0.8973
-0.0028,-0.4244,-0.8992
-0.005,-0.4126,-0.906
-0.0069,-0.4247,-0.8993
-0.0063,-0.419,-0.9108
-0.0083,-0.3805,-0.9229
-0.0076,-0.3586,-0.9182
-0.004,-0.355,-0.9299
-0.0041,-0.3801,-0.9209
-0.0086,-0.369,-0.9262
-0.0118,-0.3372,-0.9353
-0.0091,-0.3057,-0.9447
-0.0042,-0.318,-0.943
-0.0022,-0.331,-0.9401
-0.0073,-0.3138,-0.9484
-0.0127,-0.2831,-0.951
-0.0121,-0.2739,-0.9546
-0.0075,-0.2815,-0.9521
-0.0048,-0.2721,-0.9604
-0.0082,-0.2578,-0.9598
-0.0116,-0.2434,-0.9637
-0.0099,-0.2331,-0.9721
-0.0078,-0.2386,-0.9647
-0.0061,-0.2357,-0.9689
-0.0073,-0.216,-0.9741
-0.0112,-0.2067,-0.9706
-0.0106,-0.1978,-0.973
-0.0085,-0.1832,-0.98
-0.0076,-0.1837,-0.9792
-0.0077,-0.1959,-0.9762
-0.0099,-0.1923,-0.9815
-0.0137,-0.1517,-0.9885
-0.0119,-0.1399,-0.9796
-0.0057,-0.1591,-0.9814
-0.0026,-0.1459,-0.9898
-0.0101,-0.1335,-0.9844
-0.0149,-0.1396,-0.9821
-0.0096,-0.1288,-0.9909
-0.006,-0.1174,-0.9936
-0.0085,-0.1095,-0.986
-0.0087,-0.0961,-0.991
-0.0095,-0.1023,-0.9922
-0.0097,-0.1116,-0.9884
-0.0085,-0.0887,-0.9954
-0.0081,-0.072,-0.9938
-0.0085,-0.0853,-0.9917
-0.008,-0.0912,-0.9967
-0.0099,-0.0746,-0.9955
-0.0122,-0.0611,-0.993
-0.0102,-0.056,-0.9926
-0.0076,-0.0532,-0.9967
-0.0097,-0.0552,-0.9945
-0.0112,-0.0578,-0.9942
-0.0107,-0.0572,-0.9952
-0.0104,-0.0392,-0.9972
-0.01,-0.0275,-0.9945
-0.0082,-0.0284,-0.9942
-0.0068,-0.038,-0.9967
-0.0096,-0.0456,-0.9976
-0.012,-0.0267,-0.9981
-0.0111,-0.0051,-0.9957
-0.0091,-0.0168,-0.9952
-0.0068,-0.0348,-0.998
-0.0087,-0.0238,-1.0003
-0.0139,-0.0066,-0.9954
-0.0137,-0.0049,-0.9928
-0.0085,-0.0105,-0.9976
-0.0075,-0.01,-0.9987
-0.0107,-0.0051,-0.9958
-0.0127,-0.0059,-0.9954
-0.0115,-0.01,-0.9979
-0.01,-0.0077,-0.998
-0.0096,0.002,-0.9958
-0.009,0.0061,-0.996
-0.0101,-0.0003,-0.9969
-0.0117,-0.0054,-0.9975
-0.0108,-0.001,-0.9976
-0.0098,0.0005,-0.9964
-0.0093,-0.0033,-0.9969
-0.0099,-0.0004,-0.999
-0.0108,0.0036,-0.9977
-0.0114,0.0004,-0.9977
-0.0105,-0.0045,-0.9989
-0.0097,-0.0032,-0.9987
-0.0114,0.0013,-0.9981
-0.0108,0.0018,-0.9987
-0.0094,-0.0008,-1.0001
-0.0106,-0.0036,-0.9998
-0.0113,-0.0033,-0.9994
-0.0115,-0.0007,-0.9994
-0.0097,0.0004,-0.9988
-0.0084,0.0004,-0.9984
-0.0091,0.0008,-0.9979
