AnglesRateX,AnglesRateY,AnglesRateZ
-1.6041,-0.0086,0.0223
-1.5936,-0.0071,0.0193
-1.5787,-0.0064,0.0179
-1.581,-0.0062,0.0187
-1.5856,-0.0021,0.021
-1.5882,-0.0051,0.0228
-1.5821,-0.008,0.0202
-1.576,-0.0075,0.0206
-1.5748,-0.0084,0.0205
-1.5717,-0.0044,0.0221
-1.5795,-0.0015,0.0248
-1.5866,-0.0046,0.0206
-1.5869,-0.0097,0.0189
-1.5856,-0.0094,0.0208
-1.5774,-0.0074,0.0187
-1.5717,-0.0063,0.0165
-1.5773,-0.0084,0.0201
-1.5852,-0.0089,0.0221
-1.586,-0.01,0.0218
-1.5775,-0.0065,0.0225
-1.5759,-0.0038,0.0234
-1.5808,-0.0101,0.0242
-1.5896,-0.0087,0.0199
-1.5914,-0.0068,0.0207
-1.5879,-0.0097,0.0208
-1.5799,-0.0082,0.0195
-1.5722,-0.0062,0.019
-1.5665,-0.0049,0.0188
-1.5663,-0.0064,0.018
-1.5659,-0.0077,0.0175
-1.5686,-0.0072,0.0202
-1.567,-0.0045,0.0219
-1.5553,-0.002,0.0197
-1.5497,-0.0045,0.0174
-1.5589,-0.0099,0.0159
-1.5664,-0.01,0.0158
-1.5745,-0.0056,0.0196
-1.5787,-0.0059,0.0198
-1.5626,-0.008,0.022
-1.5517,-0.0056,0.0183
-1.5498,-0.0066,0.0134
-1.5648,-0.0055,0.0178
-1.5845,-0.0053,0.0214
-1.5798,-0.0048,0.0181
-1.5626,-0.0045,0.0192
-1.5592,-0.0092,0.0215
-1.5621,-0.0094,0.0208
-1.5762,-0.0042,0.0183
-1.5875,-0.0024,0.0156
-1.5884,-0.0066,0.0188
-1.5793,-0.0093,0.0214
-1.5628,-0.0027,0.0189
-1.5602,-0.0004,0.0174
-1.566,-0.0035,0.0212
-1.5742,-0.0098,0.0204
-1.5858,-0.0103,0.0184
-1.5842,-0.0094,0.0184
-1.5706,-0.0123,0.0203
-1.5696,-0.0069,0.0209
-1.5734,-0.0053,0.0247
-1.5769,-0.008,0.0255
-1.587,-0.0101,0.0213
-1.5885,-0.0115,0.0176
-1.5854,-0.0061,0.0177
-1.5819,-0.0026,0.0196
-1.5786,-0.0033,0.0186
-1.5807,-0.0048,0.0209
-1.5773,-0.005,0.0258
-1.5797,-0.0036,0.0233
-1.5887,-0.0057,0.0213
-1.6031,-0.0094,0.0182
-1.6087,-0.0097,0.0182
-1.6018,-0.0071,0.0196
-1.5888,-0.0048,0.0203
-1.5765,-0.0043,0.0206
-1.5785,-0.0034,0.021
-1.5871,-0.0062,0.022
-1.5867,-0.0079,0.0223
-1.5834,-0.0065,0.0225
-1.5808,-0.0058,0.0228
-1.577,-0.0056,0.0203
-1.5683,-0.0049,0.0201
-1.5751,-0.005,0.0225
-1.5856,-0.005,0.021
-1.5872,-0.0083,0.0169
-1.5854,-0.0087,0.0209
-1.5759,-0.0083,0.0255
-1.5697,-0.0071,0.0249
-1.5753,-0.0048,0.0219
-1.5892,-0.0057,0.0231
-1.5917,-0.0115,0.0246
-1.5766,-0.0104,0.0244
-1.5724,-0.0075,0.0216
-1.5769,-0.0087,0.0161
-1.5864,-0.0055,0.0145
-1.5934,-0.0025,0.0199
-1.5887,-0.0043,0.0217
-1.5784,-0.0072,0.0213
-1.5679,-0.0075,0.0233
-1.5646,-0.0041,0.0243
-1.5679,-0.0047,0.0227
-1.5649,-0.0077,0.02
-1.5645,-0.0066,0.0184
-1.5636,-0.0036,0.0203
-1.5589,-0.0005,0.0232
-1.5576,-0.0016,0.021
-1.562,-0.0081,0.0207
-1.5651,-0.0026,0.02
-1.5728,-0.0024,0.0187
-1.5755,-0.0071,0.0167
-1.5655,-0.0072,0.0177
-1.5557,-0.007,0.0177
-1.5549,-0.0038,0.0158
-1.5705,-0.0011,0.0168
-1.5863,0.0009,0.0194
-1.5761,-0.0045,0.0179
-1.5663,-0.0071,0.0192
-1.5591,-0.0055,0.0175
-1.5683,-0.0031,0.021
-1.5841,-0.0028,0.0209
-1.5901,-0.0039,0.0177
-1.5857,-0.0041,0.0173
-1.5708,-0.0032,0.0182
-1.5608,-0.0027,0.0182
-1.5661,-0.0021,0.0191
-1.5745,-0.0057,0.0184
-1.5787,-0.0059,0.0178
-1.5799,-0.008,0.0175
-1.5721,-0.011,0.0219
-1.5674,-0.0073,0.0223
-1.5693,0.0005,0.023
-1.5716,-0.0021,0.0224
-1.5762,-0.0075,0.0214
-1.587,-0.0077,0.0181
-1.5907,-0.0059,0.02
-1.5832,-0.0078,0.0234
-1.5785,-0.0086,0.0216
-1.58,-0.0075,0.0206
-1.5833,-0.0082,0.0219
-1.5786,-0.0097,0.0258
-1.5802,-0.0072,0.0258
-1.5908,-0.0042,0.0227
-1.6026,-0.0028,0.0205
-1.6045,-0.0041,0.0195
-1.5779,-0.0044,0.0197
-1.5496,-0.0052,0.0181
-1.519,-0.0105,0.0187
-1.5019,-0.0089,0.0185
-1.4948,-0.0007,0.0187
-1.4793,0.0027,0.0188
-1.4457,-0.0018,0.0161
-1.4164,-0.0064,0.0122
-1.3942,-0.0067,0.0155
-1.3841,-0.0043,0.0203
-1.3721,0.0009,0.0183
-1.3478,-0.0002,0.017
-1.3224,-0.0001,0.0169
-1.2996,-0.0017,0.0169
-1.2796,-0.0039,0.0162
-1.2568,-0.0003,0.0159
-1.2328,-0.0014,0.0151
-1.2117,-0.0011,0.0174
-1.1949,-0.0002,0.0184
-1.1801,-0.0015,0.0188
-1.1611,-0.0009,0.0151
-1.1339,-0.0016,0.0139
-1.0948,-0.0021,0.0166
-1.0708,-0.0026,0.0169
-1.0686,-0.0005,0.014
-1.0622,-0.0028,0.0164
-1.0426,-0.0098,0.0158
-1.0072,-0.0059,0.011
-0.9703,-0.0013,0.0092
-0.9385,0.0018,0.0101
-0.9257,0.0006,0.0112
-0.9154,-0.0012,0.0106
-0.9022,0.0009,0.0136
-0.8836,-0.0006,0.0121
-0.8499,-0.0024,0.0086
-0.8163,-0.0024,0.0074
-0.7962,-0.0014,0.0059
-0.775,-0.0012,0.009
-0.75,0.0035,0.0121
-0.7295,0.0038,0.013
-0.7143,0.0007,0.0096
-0.7012,0.0008,0.0054
-0.6832,-0.0019,0.0054
-0.6566,0.0014,0.0047
-0.6251,0.002,0.0041
-0.5855,0.0041,0.0038
-0.5682,0.0052,0.0061
-0.5626,0.0045,0.0084
-0.5549,0.006,0.0104
-0.5317,0.0024,0.0092
-0.495,0.0033,0.0034
-0.4664,0.0033,0.0004
-0.4493,0.0033,0.0083
-0.4371,0.0005,0.0105
-0.4158,0.0012,0.0091
-0.3902,0.0034,0.0045
-0.3661,0.0031,0.0037
-0.3473,0.0031,0.0028
-0.3296,0.0043,0.0028
-0.3103,0.0028,0.0043
-0.2846,0.0023,0.0009
-0.2531,0.003,-0.003
-0.2283,0.0018,-0.0002
-0.2124,0.0011,0.0033
-0.1982,-0.0007,0.0075
-0.1822,-0.0005,0.0053
-0.1612,0.0022,0.0013
-0.1339,0.0065,-0.0014
-0.1091,0.0072,-0.0027
-0.0843,0.0043,0.001
-0.0678,0.0034,0.0033
-0.0577,0.004,0.004
-0.05,0.0039,0.0
-0.0377,0.0023,-0.0014
-0.0246,0.003,0.0034
-0.0147,0.0029,0.0027
-0.0112,0.006,0.001
-0.0101,0.0065,0.001
-0.01,0.0034,0.0027
-0.0123,0.0044,0.002
-0.013,0.0058,0.001
-0.008,0.0034,0.003
-0.0041,0.0014,0.0007
-0.0063,0.0041,0.0006
-0.0042,0.0059,-0.0007
-0.001,0.007,-0.0026
0.0002,0.0053,0.0
0.0007,0.0035,0.0033
