AccelerationX,AccelerationY,AccelerationZ
0.0163,-0.0012,0.9982
0.0186,-0.0004,0.999
0.0182,-0.0004,1.0021
0.0146,-0.002,1.0011
0.0164,-0.0018,1
0.0179,-0.0007,1.0026
0.0174,-0.003,1.0029
0.0182,-0.0059,0.9995
0.0182,-0.0033,0.9979
0.0183,-0.0002,0.9992
0.018,-0.002,1.0004
0.0193,-0.0067,1.0005
0.0171,-0.003,1.0021
0.0134,0.0009,1.0027
0.0147,-0.0018,0.9999
0.0192,-0.002,0.9997
0.0183,0.001,1
0.0141,-0.0016,1.0011
0.0157,-0.0039,0.9995
0.0178,0.0002,1.0006
0.0164,0.0027,1.0033
0.0153,-0.0028,1.0011
0.0167,-0.0044,1.0007
0.0179,0.0008,0.9997
0.0164,0.0006,1.0004
0.0171,-0.0072,0.998
0.0193,-0.0073,0.9974
0.0179,0.0019,1.0018
0.0161,0.0012,1.0034
0.0181,-0.0037,1.0002
0.019,-0.0025,0.9976
0.015,0.0007,1.0011
0.0162,-0.0009,1.0009
0.016,0.0012,1.0003
0.0133,0.0021,1.0024
0.0112,-0.0034,1.002
0.0157,-0.0042,0.9988
0.0187,0.0011,0.9985
0.016,0.0035,1.0025
0.0156,-0.0025,1.0009
0.0184,-0.0052,0.9993
0.0179,0.0022,1.0013
0.0145,0.0048,1.0029
0.0165,-0.0021,1.0007
0.0187,-0.0033,1.0002
0.0156,0.0012,1.0022
0.0134,-0.0014,1
0.0164,-0.0044,0.998
0.0179,-0.0005,0.9997
0.0157,0.001,1.0011
0.0166,-0.0024,0.9994
0.0186,-0.0013,0.9998
0.0171,0.0023,1.0026
0.0153,0,1.002
0.0161,-0.0041,0.9987
0.0166,-0.0015,0.9993
0.016,0.0024,1.0015
0.0156,-0.0009,1.0003
0.0147,-0.0045,1
0.0142,-0.003,1.0019
0.0155,-0.0027,1.0016
0.0211,-0.0034,0.9993
0.0214,-0.0004,0.9994
0.018,-0.0001,1.0016
0.0164,-0.0042,0.9985
0.0154,-0.0025,0.9986
0.0132,0.0012,1.0007
0.0141,-0.0005,1.002
0.0167,-0.0043,0.9995
0.0164,-0.0022,0.9993
0.0143,0.0025,1.0008
0.0135,-0.0023,0.9983
0.017,-0.0045,0.9994
0.0194,-0.0007,1.0013
0.0177,0.0019,1.0029
0.0167,-0.001,0.9995
0.0163,-0.0015,1.0007
0.0141,0.0001,1.0029
0.0131,-0.0019,1.0003
0.0165,-0.0045,0.9979
0.02,-0.0028,0.9995
0.0181,-0.0003,1.0022
0.0141,-0.0047,1.001
0.0167,-0.0056,1.0014
0.0196,0.0003,1.0025
0.017,0.0021,1.0004
0.0155,-0.0021,0.9988
0.0175,-0.0021,1.0001
0.0155,0.003,1.0028
0.0113,0.0024,1.0007
0.0136,-0.0009,1.0001
0.0169,0.0005,1.0004
0.0148,0.0021,0.9998
0.0147,-0.0023,0.9992
0.0165,-0.003,0.9994
0.0168,0.0015,1.0023
0.0149,0.0011,1.0013
0.0181,-0.0045,1.0006
0.0199,-0.0015,1.001
0.0171,0.0032,1.0005
0.0146,-0.0006,0.9998
0.0166,-0.0053,0.9994
0.0187,-0.0022,1.0012
0.0163,0.0004,1.0017
0.016,-0.0023,1.0014
0.0163,-0.0021,1.0001
0.0146,0.0016,1.0015
0.0142,0.0014,1.0013
0.0164,-0.0001,1.0006
0.0165,0.0025,0.9998
0.0145,0.004,0.999
0.015,0.0001,1.0005
0.0161,-0.0009,1.0007
0.0151,0.0015,1.0024
0.0138,0.0001,1.0016
0.0163,-0.002,1.0001
0.0177,0.0001,1.0001
0.0166,0.0003,1.0008
0.017,-0.0032,0.9991
0.0184,-0.0026,0.998
0.0177,-0.0003,1.0023
0.0165,-0.0003,1.0038
0.0183,-0.0029,1.0016
0.0169,-0.0025,0.9998
0.0143,0.0014,1.0004
0.0163,-0.0001,1.0003
0.0176,-0.0036,0.9994
0.015,0,1.0023
0.0136,0.001,1.002
0.015,-0.002,1.0003
0.0158,0.002,1.0004
0.0158,0.0052,1.0012
0.0156,0.0006,1.0008
0.0165,-0.0028,0.9998
0.0148,-0.0006,1.0009
0.0141,0.002,1.0019
0.016,-0.0018,1.0009
0.0176,-0.0058,1.0014
0.0174,-0.0017,1.0023
0.0166,0.0015,0.9997
0.0168,-0.0036,0.9968
0.0164,-0.0031,0.9986
0.0168,0.001,1.0026
0.0172,-0.0019,1.0011
0.0172,-0.0028,0.9997
0.0158,0.0018,1.0025
0.0155,0.0018,0.9996
0.0158,-0.0028,0.9968
0.0148,-0.0026,0.999
0.0146,0.0042,1.0039
0.0145,0.0027,1.0017
0.0152,-0.0026,1.0011
0.0159,-0.0002,1.0019
0.017,0.0052,1.0007
0.0174,0.0019,0.9998
0.017,-0.0025,0.9999
0.0171,-0.001,1.0021
0.0164,0.0023,1
0.0161,-0.0017,1.0005
0.0153,-0.0019,1.0023
0.0152,0.0043,1.002
0.0157,0.002,1.0006
0.0161,-0.0016,1.0008
0.016,0.0037,1.0006
0.0142,0.0071,0.9989
0.0138,0.0034,0.9999
0.0148,0.0029,1.0019
0.014,0.0088,1.0035
0.0127,0.0132,1.0014
0.012,0.0073,0.9999
0.0112,0.0024,0.9993
0.0097,0.0073,1.0004
0.0107,0.0103,1.0004
0.0159,0.0063,1.0005
0.0173,0.004,1.0019
0.0141,0.0051,1.0013
0.0135,0.0058,1.0009
0.0165,0.0063,1.0008
0.0167,0.0045,1.0007
0.015,0.0027,1.001
0.0157,0.0045,0.9998
0.0143,0.0059,1
0.011,0.0037,1.0006
0.0117,0.0032,1.0012
0.0137,0.0048,1.0006
0.0118,0.006,1.0003
0.0115,0.0068,1.0019
0.0145,0.006,1.0024
0.0163,0.006,1.002
0.0144,0.009,1.0009
0.0116,0.0092,0.9999
0.0104,0.0076,1.0001
0.0123,0.006,1.0002
0.0139,0.0041,1.0013
0.0143,0.0052,1.0015
0.012,0.0082,0.9998
0.0102,0.0077,1.0005
0.0108,0.0048,1.0008
0.0147,0.0043,1
0.0159,0.0052,0.9996
0.0164,0.0067,1.0012
0.0151,0.0067,1.0016
0.0119,0.0054,1.0009
0.012,0.0054,1.0018
0.0137,0.0067,1.0011
0.015,0.0071,1.0012
0.0141,0.0062,1.0009
0.0129,0.004,1.0009
0.0123,0.0044,0.9995
0.0117,0.0057,0.9976
0.0124,0.0077,0.9989
0.0146,0.01,1.0019
0.0148,0.008,1.0026
0.0116,0.0072,1.0017
0.0098,0.0091,1.0009
0.0116,0.0102,0.9997
0.0135,0.0075,1.0001
0.0125,0.0049,1.0002
0.0112,0.005,1.0006
0.0121,0.0078,1.001
0.0135,0.0077,1.0006
0.0137,0.0037,1.0011
0.0148,0.0027,1.0001
0.0146,0.0056,1.0008
0.0121,0.0072,1
0.0129,0.0072,1.0004
0.0144,0.0053,1.0007
0.0126,0.0044,1.0008
0.0108,0.0067,1.002
0.0116,0.0084,1.0005
0.0122,0.0081,1
0.0125,0.0069,1.0014
0.0134,0.0055,1.0028
0.0144,0.0059,1.0014
0.0138,0.0062,1.0003
0.0136,0.0048,1.0011
0.0146,0.0027,1.0012
0.0143,0.0013,1.0011
0.0141,0.001,1.0013
0.0143,0.001,0.9997
0.0147,0.0009,0.9993
0.0151,0.0002,1.0004
0.0145,-0.0003,1.001
0.014,0.0011,1.0003
0.013,0.0022,1.0002
0.0134,0.0027,1.0018
0.0145,0.0016,1.0016
0.015,0.0006,1.0004
0.0143,0,0.9999
0.014,0.0014,1.0001
0.0137,0.0022,1.0007
0.0146,0.002,1.0005
0.0159,0.0003,1.0006
0.0149,0.0007,1.0009
0.0134,0.0025,0.9998
0.0131,0.0031,1.0003
0.0141,0.0014,1.0013
0.0152,0.0007,1.0012
0.0161,0.0001,1.0004
0.0147,0.0002,1.0006
0.0125,0.0011,1.0004
0.0125,0.0014,0.9997
0.0139,0.0009,1.0005
0.0152,0.0016,1.002
0.0145,0.0028,1.0014
0.0136,0.0021,1.0009
0.0138,0.0016,1.0006
0.0138,0.0016,1.0007
0.0141,0.0016,1.0007
0.0141,0.0011,1.0006
0.0132,0.0002,1.001
0.0132,0.0005,1.0001
0.0142,0.001,0.9998
0.0155,0.0013,1.0005
0.0165,0.0012,1.0001
0.0157,0.0015,0.9998
0.0142,0.0008,1
0.0146,0,1.0001
0.0157,0.0007,1.0002
0.0154,0.0018,1.0002
0.0133,0.0014,1.0007
0.0129,0.0008,0.9999
0.0144,0.0017,1.0004
0.015,0.002,1.0014
0.0147,0.0019,1.0013
0.0142,0.0013,1.0005
0.0135,0.0017,1.0006
0.012,0.0016,1.0013
0.0134,0.0014,1.0009
0.015,0.0014,1.0005
0.015,0.001,1.0014
0.0134,0.0009,1.001
0.0127,0.0013,1.0002
0.0137,0.0011,1.0001
0.0133,0.0015,1.001
0.0134,0.0009,0.9995
0.0137,0.0006,0.9989
0.0141,0.0012,0.9999
0.0148,0.0015,0.9998
0.015,0.0009,0.9989
0.0152,0.0011,1.0004
0.0149,0.0007,1.0012
0.0147,0.0015,0.9996
0.0143,0.0016,0.9997
0.0144,0.0005,1.001
0.0153,0.0004,1.0008
0.0151,0.0012,1.0002
0.0145,0.001,1.0004
0.0141,0.0009,1.0011
0.0139,0.0011,1.0011
0.0143,0.0015,1.0006
0.0145,0.0014,1.0009
0.0145,0.001,1.0012
0.014,0.0013,1.0002
0.0143,0.0024,1
0.014,0.002,1.0008
0.0133,0.0022,1.0014
0.0135,0.0027,1.0018
0.0128,0.0023,1.0022
0.0127,0.0017,1.0018
0.0144,0.0016,1.0005
0.0154,0.0019,1.0008
0.0155,0.0017,1.0011
0.0155,0.0015,1.0006
0.0156,0.0019,0.9999
0.0156,0.0012,1.0001
0.0148,0.001,1.0005
0.0149,0.001,1
0.0149,0.0014,1.0009
0.015,0.0019,1.0013
0.0146,0.0018,1.0005
0.0143,0.0019,1.0002
0.0143,0.0024,1.001
0.0144,0.0019,1.0007
0.014,0.0019,1.0003
0.0147,0.0019,1.0005
0.0148,0.002,1.0015
0.0147,0.0025,1.0013
0.0137,0.0024,1.0005
0.0138,0.0021,1.0011
0.0141,0.0016,1.0014
0.0146,0.0011,1.0004
0.0149,0.0013,1.0002
0.0148,0.0017,1.0014
0.0148,0.0009,1.0007
0.0149,0.0014,1.0002
0.0151,0.0014,1.0008
0.0143,0.0012,1.0012
0.0139,0.0011,1.0007
0.0137,0.0014,0.9998
0.0142,0.0016,1.0009
0.0143,0.0012,1.0015
0.0132,0.001,1.0006
0.0125,0.0012,1.0012
0.0136,0.0016,1.0012
0.0144,0.0015,1.0002
0.0146,0.0019,1.0002
0.0149,0.0019,1.0012
0.0155,0.002,1.0009
0.0152,0.0028,1.0006
0.0131,0.0018,1.0011
0.0133,0.0016,1.0015
0.0143,0.0017,1.0007
0.0145,0.0016,1.0003
0.0141,0.0015,1.0011
0.0139,0.0014,1.0009
0.0136,0.0016,0.9998
0.0139,0.0014,0.9998
0.0145,0.0013,1.0005
0.0149,0.0008,1.0003
0.0157,0.0012,1.0004
0.0148,0.002,1.0011
0.0141,0.0022,1.0004
0.0145,0.0022,1.0004
0.0139,0.0019,1.0011
0.0134,0.0011,1.0009
0.0131,0.0009,0.9999
0.0132,0.0016,1
0.0144,0.0017,1.001
0.0147,0.0016,1
0.0151,0.0017,0.9994
0.0148,0.0019,1.0005
0.0144,0.0021,1.0013
0.0145,0.0033,1.0007
0.0139,0.0024,1.0012
0.0138,0.001,1.0011
0.014,0.0017,0.9992
0.015,0.0022,0.9993
0.015,0.0016,1.0003
0.0148,0.0021,1.0014
0.015,0.0022,1.0012
0.0146,0.0021,1.0008
0.0145,0.0021,1.0015
0.0146,0.0016,1.0002
0.0145,0.0018,0.9999
0.0145,0.0008,0.9999
0.0138,0.0003,0.9995
0.0148,0.0011,0.9989
0.0153,0.0015,0.9994
0.014,0.0012,1.0016
0.0143,0.0008,1.0011
0.0146,0.0013,1.0002
0.0142,0.0017,1.001
0.0137,0.0018,1.0013
0.0138,0.0015,1.0013
0.014,0.0013,1.0004
0.0137,0.002,1.0003
0.0134,0.002,1.0009
0.0135,0.0008,0.9997
0.014,0.0006,1.0003
0.0147,0.0008,1.0007
0.0149,0.0015,1.0004
0.015,0.0022,1.0013
0.0155,0.0029,1.0023
0.0145,0.0032,1.0022
0.0136,0.0022,1.0004
0.0138,0.0014,1.0001
0.0131,0.0008,1.0005
0.0138,0.001,1.0004
0.0148,0.0011,0.9999
0.0146,0.0007,1.0007
0.0138,0.0005,1.0003
0.0138,0.0009,0.9996
0.0142,0.0014,1.0004
0.0149,0.0013,1.0011
0.0151,0.0007,0.9997
0.014,0.0009,1
0.0137,0.0012,1.001
0.0149,0.0012,1.0001
0.0142,0.001,1.0001
0.0136,0.0008,1.0004
0.0138,0.0012,1.0008
0.0134,0.001,1.0006
0.0145,0.0001,0.9996
0.0153,0.0004,1.0002
0.0151,0.0011,1.001
0.0152,0.0018,1.0005
0.015,0.0025,0.9997
0.0146,0.0022,1.0003
0.0146,0.0014,1.0007
0.0149,0.0009,0.9992
0.0153,0.0013,1
0.0152,0.0019,1.0008
0.0144,0.0019,1.0008
0.0142,0.0016,1.0012
0.0146,0.0014,1.0019
0.0148,0.0016,1.0003
0.0152,0.0019,0.9997
0.0144,0.0017,1.0003
0.0137,0.0012,1.0005
0.0145,0.0016,1.0004
0.015,0.002,1.0008
0.0142,0.0012,1.0009
0.0142,0.0018,1.0007
0.0144,0.0015,0.9997
0.0143,0.0015,1.0006
0.0148,0.0011,1.0007
0.0153,0.0005,0.9998
0.0151,0.0023,1.0003
0.0141,0.0027,1.001
0.0141,0.0028,1.0006
0.0145,0.0021,1.0001
0.0144,0.0019,1.0003
0.0146,0.0022,1.0009
0.0149,0.0018,1.0012
0.0152,0.001,1.0007
0.0147,0,1.0003
0.0147,-0.0005,0.9983
0.0149,0.0005,0.9984
