AccelerationX,AccelerationY,AccelerationZ
0.0134,0.0015,1.0008
0.013,0.001,1.0001
0.0133,-0.0001,0.9996
0.0145,0.0004,1.0003
0.0143,0.0005,0.9997
0.0138,0.0005,0.9999
0.0135,0.0002,0.9998
0.0138,0.0003,0.9996
0.0145,0.0008,0.9998
0.0139,0.0005,1.0004
0.0132,0,1.0009
0.0134,0.0002,1
0.014,0.0005,1.0003
0.0142,0.0007,1.001
0.0145,0.0015,1.0013
0.0143,-0.0007,1.0005
0.0138,-0.0009,1.0001
0.014,0.001,1.0007
0.0134,0.001,1.0012
0.0134,0.0001,1.0005
0.0142,-0.0001,1.0002
0.0141,-0.0007,0.9993
0.014,-0.0001,0.9997
0.0145,0.0005,1.0001
0.0146,0,0.9998
0.0141,0.0007,0.9998
0.0139,0.0008,0.9988
0.0137,0.001,0.9989
0.0144,0.0012,0.9998
0.0145,0,1
0.0145,-0.0004,1.0005
0.0146,-0.0002,0.9997
0.0147,0,1.0006
0.0152,0.0012,1.0008
0.0145,-0.0002,0.9996
0.0136,-0.0008,0.9999
0.0137,0.0005,0.9999
0.0135,0.0011,1.0009
0.0144,0.0001,1.0001
0.0147,-0.0005,0.9995
0.0138,0.0001,1.0006
0.0139,0.0003,1.0008
0.0134,0.0002,1.0006
0.0137,0.001,1.0006
0.0141,0.0007,1.0007
0.0146,0.0001,1.0004
0.0146,-0.0006,0.9993
0.0146,0.0001,0.9998
0.0139,0.0003,1.0003
0.0131,0.0007,1.0006
0.014,0.0007,1.0002
0.014,0.0003,0.9995
0.0136,0.0004,0.9993
0.0139,0.0003,0.9996
0.0137,0.0009,1.0003
0.0136,0.0007,1.0001
0.0138,0.0005,1.0001
0.0136,0.0013,1
0.0135,0.0012,0.9999
0.0134,0.0009,1.0007
0.0137,0.0015,1.0008
0.0139,0.0005,1.0001
0.0135,-0.0005,1.0002
0.0135,-0.0005,0.9998
0.0143,0.0002,1
0.0144,0.0007,1.0005
0.0137,0.0005,1.0005
0.0143,-0.0002,0.9988
0.0143,-0.0005,0.9997
0.0138,-0.0002,1.0009
0.0138,-0.0002,1.0004
0.0142,-0.0004,1.0005
0.0141,-0.0002,1.0007
0.014,-0.0006,1.0007
0.0143,-0.0003,1.0009
0.0148,0.0001,1.0004
0.0147,0.0003,1.0001
0.0149,0.0002,0.9993
0.0163,-0.0003,0.9981
0.0167,-0.0003,0.9956
0.0181,0.0011,0.9933
0.0202,0.0013,0.9907
0.0209,0.0009,0.9896
0.0184,0.0008,0.9963
0.016,-0.0008,1.0034
0.0206,0.0008,1.0013
0.0262,0.0018,0.9945
0.0251,0,0.9909
0.0216,-0.0002,0.9915
0.0234,0.0011,0.9946
0.03,0.0009,0.9957
0.034,-0.0007,0.9948
0.0327,-0.002,0.9945
0.0303,-0.0018,0.9949
0.0344,0.0008,0.9941
0.0413,0.001,0.9934
0.0447,-0.002,0.9933
0.0459,-0.0022,0.9933
0.0456,0,0.9952
0.0477,0.0026,0.9961
0.053,0.0026,0.9952
0.0608,0.0009,0.9923
0.0645,0.0008,0.9924
0.0627,0.0014,0.9948
0.0632,0.0016,0.9961
0.0701,0.001,0.9938
0.0783,-0.0006,0.9921
0.0833,-0.0008,0.9921
0.0834,0.001,0.9922
0.0867,0.002,0.9933
0.0948,0.0024,0.9909
0.102,0.0013,0.9886
0.1058,-0.0007,0.9902
0.1083,0.0007,0.9907
0.1134,0.0026,0.9881
0.1201,0.0011,0.9868
0.1249,-0.0006,0.991
0.1296,0.0002,0.9928
0.1376,0.0013,0.9868
0.1462,0.0022,0.978
0.1496,0.0011,0.9784
0.1512,-0.0003,0.985
0.16,0.0023,0.9887
0.1711,0.0041,0.9878
0.1773,0.0014,0.9851
0.1841,-0.0003,0.9769
0.1896,0.0012,0.9714
0.1968,0.0023,0.9718
0.2052,0.0022,0.9755
0.2094,0.0001,0.9847
0.217,-0.0012,0.9826
0.2309,0.0029,0.9648
0.2406,0.0046,0.9531
0.2414,0.0016,0.9602
0.2442,0.0007,0.9733
0.2577,0.0028,0.9803
0.2765,0.0045,0.9635
0.2858,0.0044,0.9484
0.2837,0.0004,0.9441
0.2817,-0.0009,0.958
0.2965,0.0037,0.9641
0.3238,0.0062,0.9482
0.3349,0.004,0.9349
0.3239,0.0001,0.9413
0.3216,0.0013,0.9503
0.3435,0.0069,0.9379
0.3787,0.0068,0.9175
0.3824,-0.0001,0.9175
0.3684,-0.0032,0.9332
